DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8239003,1,2,1,70,795.0559,2,68,3.0,1957.0,2,2.0,6,1,3,3,1,3.0,1.0,2.0,3.0,,15.0,6.0,18.0,47.0,2.0
8239003,1,3,1,70,795.0559,1,53,11.0,1971.0,13,6.0,6,1,3,3,1,3.0,1.0,2.0,3.0,,,,,,
8239004,1,1,1,70,1029.147,2,42,4.0,1983.0,1,2.0,5,1,2,2,1,3.0,1.0,2.0,3.0,280000.0,30.0,4.0,12.0,81.0,2.0
8239004,1,2,1,70,1029.147,2,11,10.0,2013.0,3,6.0,6,2,2,1,1,3.0,1.0,1.0,4.0,,,,,,
8239004,1,3,1,70,1029.147,2,8,10.0,2016.0,3,,6,2,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8239005,1,1,1,70,634.5767,2,53,10.0,1971.0,1,3.0,5,2,3,3,1,2.0,1.0,2.0,10.0,4200000.0,30.0,2.0,240.0,85.0,1.0
8239005,1,2,1,70,634.5767,1,65,9.0,1959.0,2,3.0,5,2,2,2,1,2.0,1.0,2.0,4.0,,,,,,
8239005,1,3,1,70,634.5767,2,14,1.0,2011.0,3,6.0,5,2,1,1,1,2.0,1.0,1.0,4.0,,,,,,
8239006,1,1,1,70,1047.4579,1,50,3.0,1975.0,1,6.0,6,2,3,3,1,3.0,1.0,2.0,5.0,,,,,,
8239007,1,1,1,70,631.6094,2,51,1.0,1974.0,1,4.0,1,1,3,2,1,3.0,1.0,2.0,4.0,300000.0,25.0,4.0,180.0,96.0,2.0
8239007,1,2,1,70,631.6094,2,25,6.0,2000.0,3,6.0,6,1,2,1,1,3.0,1.0,2.0,5.0,,,,,,
8239008,1,1,1,70,879.853,2,36,12.0,1988.0,1,2.0,6,1,2,2,1,3.0,1.0,2.0,4.0,180000.0,12.0,4.0,120.0,81.0,2.0
8239008,1,2,1,70,879.853,2,4,11.0,2020.0,8,,6,2,2,2,1,3.0,2.0,2.0,1.0,,,,,,
8239009,1,1,1,70,993.6743,2,20,3.0,2005.0,1,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8239009,1,2,1,70,993.6743,1,31,5.0,1994.0,2,2.0,6,2,2,2,1,3.0,1.0,2.0,4.0,600000.0,44.0,4.0,12.0,49.0,2.0
8239009,1,3,1,70,993.6743,1,2,1.0,2023.0,3,,6,2,1,1,1,3.0,,,,,,,,,
8239010,1,1,1,70,670.3289,2,62,9.0,1962.0,1,5.0,1,1,3,3,1,3.0,1.0,2.0,3.0,200000.0,48.0,3.0,48.0,97.0,2.0
8239011,1,1,1,70,709.7793,2,31,9.0,1993.0,1,4.0,6,2,2,2,1,3.0,1.0,2.0,5.0,150000.0,20.0,4.0,24.0,47.0,2.0
8239011,1,2,1,70,709.7793,2,5,11.0,2019.0,3,,6,2,2,1,1,3.0,2.0,1.0,2.0,,,,,,
8239012,1,1,1,70,886.2008,2,40,2.0,1985.0,1,3.0,6,1,2,3,1,3.0,1.0,2.0,5.0,,,,,,
8239012,1,2,1,70,886.2008,1,42,11.0,1982.0,2,3.0,6,1,2,2,1,3.0,1.0,2.0,5.0,600000.0,60.0,4.0,84.0,38.0,2.0
8239012,1,3,1,70,886.2008,1,18,10.0,2006.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,9.0,,,,,,
8239012,1,4,1,70,886.2008,1,13,3.0,2012.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,4.0,,,,,,
8239012,1,5,1,70,886.2008,1,10,6.0,2014.0,3,6.0,6,2,1,1,1,3.0,2.0,1.0,3.0,,,,,,
8239013,1,1,1,70,553.9063,1,38,3.0,1987.0,1,2.0,6,1,2,2,1,3.0,1.0,2.0,5.0,1423500.0,60.0,1.0,180.0,47.0,2.0
8239013,1,2,1,70,553.9063,2,38,5.0,1987.0,2,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,,,,,,
8239013,1,3,1,70,553.9063,2,17,6.0,2008.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,5.0,,,,,,
8239014,1,1,1,70,737.1692,2,68,4.0,1957.0,1,4.0,6,1,3,3,1,3.0,2.0,2.0,1.0,,,,,,
8239014,1,2,1,70,737.1692,1,43,5.0,1982.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,5.0,1200000.0,54.0,4.0,48.0,49.0,2.0
8239014,1,3,1,70,737.1692,1,40,11.0,1984.0,3,6.0,6,2,2,1,1,3.0,1.0,2.0,5.0,900000.0,40.0,4.0,268.0,96.0,2.0
8239014,1,4,1,70,737.1692,2,38,9.0,1986.0,3,2.0,6,2,2,1,1,3.0,1.0,2.0,5.0,,,,,,
8239014,1,5,1,70,737.1692,1,40,6.0,1985.0,7,2.0,6,2,2,2,1,3.0,1.0,2.0,4.0,1200000.0,48.0,4.0,276.0,41.0,2.0
8239014,1,6,1,70,737.1692,1,17,3.0,2008.0,8,6.0,6,2,2,1,1,3.0,1.0,1.0,5.0,,,,,,
8239015,1,1,1,70,536.5163,1,30,12.0,1994.0,1,2.0,6,2,3,2,1,3.0,1.0,2.0,5.0,750000.0,30.0,1.0,30.0,10.0,2.0
8239015,1,2,1,70,536.5163,2,27,1.0,1998.0,2,2.0,6,1,2,2,1,3.0,1.0,2.0,8.0,,,,,,
